round,train_accuracy,mean_client_validation,pooled_validation,balanced_validation,weighted_f1_validation
1,0.6194421481341124,0.48168231690109514,0.5240802675585284,0.374951159958117,0.5025604476001115
2,0.6524008736014366,0.574159334013969,0.6150501672240802,0.513107230832236,0.6095929061564714
3,0.6923005804419518,0.6235807904641617,0.6682274247491639,0.6293588309281998,0.6680696455113616
4,0.7285583019256592,0.6622375570531722,0.7053511705685619,0.6936416834143979,0.7050262511834837
5,0.7638896107673645,0.6904629282427677,0.7337792642140468,0.7267308034242789,0.7301318566861318
6,0.783425085246563,0.7304885639513609,0.7648829431438127,0.7630104070800415,0.7626758286008414
7,0.8013127408921719,0.745477606489372,0.7849498327759198,0.7854240380746511,0.7827703062146354
8,0.8065357320010662,0.7693201993852288,0.8050167224080268,0.8082625963660923,0.8023817323070387
9,0.8200897127389908,0.7805945865981601,0.8187290969899665,0.8218796130196879,0.8160842248725294
10,0.841526173055172,0.7900932555108895,0.8204013377926421,0.8238624228972229,0.8174181827062206
11,0.8391309306025505,0.8056140631351276,0.8304347826086956,0.836257225656261,0.8284237998378549
12,0.8498690240085125,0.8135042545936222,0.8344481605351171,0.836449545301552,0.832358110261966
13,0.8559916205704212,0.8168621722961558,0.8397993311036789,0.844714453757863,0.8376088120199923
14,0.861350454390049,0.8283457557713366,0.8461538461538461,0.8500226897468017,0.8440701758972006
15,0.8730638772249222,0.8348819908031831,0.8528428093645485,0.8580131180832007,0.8510991612973192
16,0.8679207563400269,0.8384139834369854,0.8518394648829432,0.8551596025939379,0.850058016113445
17,0.875149317085743,0.8411770885353957,0.8551839464882943,0.8599208621301266,0.8533559385335789
18,0.8787948787212372,0.8413058624326444,0.8588628762541806,0.8653220049946737,0.8573772250683064
19,0.8824295103549957,0.8530821675962905,0.8655518394648829,0.8673184916073748,0.8643798884418561
20,0.8887547813355923,0.8506728150707201,0.8642140468227425,0.8674929064714347,0.8630015719817032
21,0.891084898263216,0.8560113162636671,0.8665551839464883,0.8722335754112293,0.8657345726549048
22,0.8880035616457462,0.8602577681439967,0.8712374581939799,0.8753056030972073,0.8702529307062747
23,0.8968865796923637,0.8614122865560788,0.8712374581939799,0.8716883663136905,0.8701147255274131
24,0.8962163366377354,0.8688633519163167,0.8752508361204013,0.8791335218163188,0.874524787224227
25,0.8990986421704292,0.8639185310609452,0.8722408026755852,0.8776454788710759,0.8714125488587883
26,0.8941134884953499,0.8662677919452247,0.8735785953177257,0.8788570225617258,0.8727809757186318
27,0.9035009779036045,0.8614216700087706,0.8709030100334448,0.8801897558107742,0.8707599939496895
28,0.8948385939002037,0.866809359044294,0.8715719063545151,0.8824870764828893,0.8715807142087345
29,0.9004576206207275,0.872422634475103,0.877257525083612,0.8872748440862039,0.8773651717896674
30,0.8946822993457317,0.8823240021232304,0.8842809364548495,0.8892249818468059,0.8839347490114607
31,0.9039254896342754,0.8816731959260179,0.8849498327759198,0.8904610144699003,0.8843834599018323
32,0.9114263206720352,0.8849955476161432,0.8862876254180602,0.891407101427939,0.8860155321492806
33,0.909833051264286,0.8821508913081786,0.8846153846153846,0.8917687818827247,0.8844420187891339
34,0.9083904512226582,0.8844753048505796,0.8862876254180602,0.8917648835466743,0.885904594381337
35,0.9110035486519337,0.8840332245456812,0.8879598662207357,0.8926280886072964,0.8874352797768202
