accuracy,loss,val_accuracy,val_loss,learning_rate
0.5484980940818787,0.9931183457374573,0.7214046716690063,0.6346782445907593,0.0010000000474974513
0.7415585517883301,0.5854724049568176,0.8274247646331787,0.4112832546234131,0.0010000000474974513
0.808158278465271,0.43716591596603394,0.8662207126617432,0.32941532135009766,0.0010000000474974513
0.8509570360183716,0.35308343172073364,0.8785952925682068,0.29175347089767456,0.0010000000474974513
0.8726790547370911,0.30792319774627686,0.8782608509063721,0.2936241626739502,0.0010000000474974513
0.8823571801185608,0.2756613790988922,0.895652174949646,0.26171600818634033,0.0010000000474974513
0.8924654126167297,0.257096529006958,0.8993310928344727,0.24396392703056335,0.0010000000474974513
0.9034339189529419,0.23022739589214325,0.8993310928344727,0.2435268610715866,0.0010000000474974513
0.9129686951637268,0.20783357322216034,0.9003344774246216,0.2590453028678894,0.0010000000474974513
0.9111047387123108,0.2167622596025467,0.9083611965179443,0.23314495384693146,0.0010000000474974513
0.924869179725647,0.18751561641693115,0.9140468239784241,0.2339780628681183,0.0010000000474974513
0.9265897274017334,0.17895017564296722,0.904347836971283,0.24171632528305054,0.0010000000474974513
0.9289554953575134,0.17416280508041382,0.8899665474891663,0.2811225950717926,0.0010000000474974513
0.9305326342582703,0.166219562292099,0.9073578715324402,0.2432437390089035,0.0010000000474974513
0.9422180652618408,0.1395028680562973,0.9130434989929199,0.22645366191864014,0.0005000000237487257
0.9489569067955017,0.12745872139930725,0.9130434989929199,0.22887219488620758,0.0005000000237487257
0.9475231170654297,0.1288348287343979,0.9160535335540771,0.22269193828105927,0.0005000000237487257
0.9491719603538513,0.12148803472518921,0.9147157073020935,0.22589415311813354,0.0005000000237487257
0.9544053077697754,0.11381508409976959,0.909699022769928,0.2510663866996765,0.0005000000237487257
0.9549071788787842,0.11107923090457916,0.9130434989929199,0.22508729994297028,0.0005000000237487257
0.9589217901229858,0.0983455702662468,0.9284281134605408,0.1978403627872467,0.0002500000118743628
0.9637249708175659,0.09156768769025803,0.9247491359710693,0.2086082249879837,0.0002500000118743628
0.9649437069892883,0.09117963910102844,0.9294314384460449,0.20170022547245026,0.0002500000118743628
0.9659473896026611,0.08469188958406448,0.9274247288703918,0.20355495810508728,0.0002500000118743628
0.9669510126113892,0.08137040585279465,0.9274247288703918,0.20638440549373627,0.0002500000118743628
0.9656606316566467,0.08323907107114792,0.9317725896835327,0.2010146528482437,0.0002500000118743628
0.9699620008468628,0.07420825213193893,0.9277591705322266,0.20924615859985352,0.0002500000118743628
0.9658039808273315,0.08619086444377899,0.9344481825828552,0.20492695271968842,0.0002500000118743628
0.9701054096221924,0.07708127796649933,0.9277591705322266,0.20879441499710083,0.0002500000118743628
0.9699620008468628,0.0758310928940773,0.9321070313453674,0.211573526263237,0.0002500000118743628
0.969388484954834,0.0757165178656578,0.9324414730072021,0.2034865915775299,0.0002500000118743628
0.972757875919342,0.0695699080824852,0.9301003217697144,0.20991607010364532,0.0001250000059371814
0.9745501279830933,0.06544002145528793,0.9331103563308716,0.2081577032804489,0.0001250000059371814
0.9739049673080444,0.06613492965698242,0.9301003217697144,0.21522551774978638,0.0001250000059371814
0.9761273264884949,0.06175900623202324,0.9324414730072021,0.21064706146717072,6.25000029685907e-05
0.9761990308761597,0.05756501108407974,0.9334447979927063,0.20865198969841003,6.25000029685907e-05
