Model,Test Accuracy,Test Balanced Accuracy,Test Weighted F1
Centralized MLP,0.9312875250166778,0.9290837438975422,0.9313103868451377
FedAvg,0.8288859239492995,0.8273247212139101,0.8265299987191347
Final Personalized FedPer,0.8905937291527685,0.8937244479216873,0.8902404568022754
